подпункт госзадания,"Авторы (Фамилия, инициалы) пример: Kononenko V.V., Образцова Е.Д.","Название статьи (без кавычек) если статья в русскоязычном журнале, но индексируется в WoS, указывайте все данные для англоязычной версии WoS.",Журнал пример: Фундаментальные проблемы радиоэлектронного приборостроения,"том , номер (в круглых скобках), номер первой страницы, год (в круглых скобках) пример: 16 (3) 91 (2016)",DOI в формате: https://doi.org/10.1038/srep22101,"Квартиль/РИНЦ (квартиль только по данным WoS! Если статья входит в WoS, но без квартиля: нет Q. Укажите только одно значение Q. Если статья входит в ядро РИНЦ и не входит в WoS: РИНЦ) примеры: Q1, Q2, Q3, Q4, нет Q, РИНЦ",Ссылка на статью в WoS,Ссылка на статью в ядре РИНЦ,"Отдел (ОСПЯ, ОЛФ, ОТИАМ)",Зав. Лабораторией (только ИОФ РАН),Номер темы ФАНО (Парус 8),авторы с аффилиациями,
,"Bikmukhametova L.R., Romanishkin I.D., Savelieva Т.А., Skobeltsin А.S., Maklygina Yu.S., Loschenov V.В., Kosyrkova А.V., Goгyajnov S.А., Potapov А.А.",Spontaneous Raman Spectroscopy for Intracranial Tumor Diagnostics ,Journal of Physics: Conference Series.,– V.1439. (2020),https://doi.org/10.1088/1742-6596/1439/1/012038,,,,,,,,
1,"Savelieva T.A., Kalyagina N.A., Grachev P.V., Goryajnov S.A., Shishkina L.V., Potapov A.A., Pavlova G.V., Loschenov V.B.",Fiber-optical analysis of light scattering and fluorescence of glial tumors in vivo,"Journal of Applied Spectroscopy, JAS",направлена в редакцию,,,,,,,,,
2,"Zharova T.A., Kogan E.A., Makarov V.I., Smorchkov M.M., Lychagin A.V., Ivannikov S.V., Zharkov N.V., Loschenov V.B.",Correlation of synovial caspase-3 concentration and the photodynamic effectiveness in the osteoarthritis treatment,Photodiagnosis and Photodynamic Therapy,"Volume 30, June 2020, 101669",10.1016/j.pdpdt.2020.101669,Q3,,,,,,"Zharova T.A.1, Kogan E.A.1, Makarov V.I.2, Smorchkov M.M.4, Lychagin A.V.1, Ivannikov S.V.1, Zharkov N.V. 1, Loschenov V.B.2,3 
1 I.M. Sechenov First Moscow State Medical University (Sechenov University), 119991, , Moscow, Trubetskaya str., 8-2
2 Prokhorov General Physics Institute of the Russian Academy of Sciences, 119991, Russian Federation, Moscow, Vavilov Str., 38
3 National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), 115409, Russian Federation, Moscow, Kashirskoe shosse, 31
4 N.N. Priorov Central Research Institute of Traumatology and Orthopedics, 127299, Russian Federation, Moscow, Priorov Str., 10
",
,"Proshkina G., Shramova E., Ryabova A., Katrivas L., Giannini C., Malpicci D., Levi-Kalisman Y., Deyev S., Kotlyar A.",Selective Eradication of Cancer Cells by Novel Small Multilamellar Liposomes Containing Large Quantities of Peptide Nucleic Acid,Biomaterials,направлена в редакцию,,"SJR-Q1, в WoS Q не видно",,,,,,,
,"Vervald, E.N. Vervald, S.A. Burikov, S.V. Patsayeva, N.A. Kalyagina, N.E. Borisova, I.I. Vlasov, O.A. Shenderova, T.A. Dolenko",Bilayer Adsorption of Lysozyme on Nanodiamonds in Aqueous Suspensions,J. of Phys. Chem. C.,"2020, 124, 7, 4288-4298",https://doi.org/10.1021/acs.jpcc.9b10923,Q1,,,,,,"Alexey M. Vervald *, Ekaterina N. Vervald , Sergey A. Burikov , Svetlana V. Patsaeva -1
Nina A. Kalyagina - 2,3
Tatiana A.Dolenko - 4
Nataliya E. Borisova - 5
Igor I. Vlasov - 2
Olga A. Shenderova - 1
1 Faculty of Physics, M.V. Lomonosov Moscow State University, 1, bldg.2, Leninskie Gory, Moscow 119991, Russian Federation 
2 A.V. Prokhorov General Physics Institute of the Russian Academy of Sciences, 38, Vavilov Str., 2 Moscow 119991, Russian Federation 
3 National Research Nuclear University MEPhI, 31, Kashirskoye shosse, Moscow 115409, 3 Russian Federation 
4 Department of Chemistry, M.V. Lomonosov Moscow State University, 1, bldg.3, Leninskie Gory, 4 Moscow 119991, Russian Federation 
5 Adámas Nanotechnologies, Inc., 8100 Brownleigh Dr, Raleigh, NC 27617, USA",
,"Savelieva Tatiana, Loshchenov Maxim, Borodkin Alexander, Linkov Kirill, Kosyrkova Alexandra, Goryajnov Sergey, Potapov Alexander, Loschenov Victor",Combined spectroscopic and video fluorescent instrument for intraoperative navigation when removing a glial tumor,SPIE Proc.,"Proc. SPIE 11363, Tissue Optics and Photonics, 113630X (2 April 2020)",https://doi.org/10.1117/12.2556064,нет,,,,, ,"Tatiana A. Savelieva a,b, Maxim V. Loshchenov a, Alexander V. Borodkin a, Kirill G. Linkov a, Alexandra V. Kosyrkova c, Sergey A. Goryajnov c, Alexander A. Potapov c, Victor B. Loschenov a,b a Prokhorov General Physics Institute of the Russian Academy of Sciences, 38, Vavilova street, Moscow, Russia,  b National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), NRNU MEPhI, 31, Kashirskoe hwy, Moscow, Russia, c N.N. Burdenko National Medical Research Center of Neurosurgery, 16, 4th Tverskaya-Yamskaya street, Moscow, Russia",
,"А.А.Мамедов, В.Б.Лощенов, Н.С.Морозова, А.В.Рябова, К.О.Иванникова, Н.А.Орлова
",Исследование пенетрационной способности адгезивныъ систем на временных зубах методом конфокальной микроскопии,Biomedical Photonics,,,,,,,,"Работа выполнена при активной поддержке ЦКП ИОФ РАН «Технологический и диагностический центр для производства, исследования и аттестации микро и наноструктур»","А.А.Мамедов1, В.Б.Лощенов2, Н.С.Морозова1, А.В.Рябова2, К.О.Иванникова1, Н.А.Орлова 1
1ФГАОУ ВО Первый МГМУ им. И.М. Сеченова Минздрава России (Сеченовский Университет), Москва, Россия
2 Институт общей физики им. А.М. Прохорова РАН, Москва, Россия",
,"Shiryaev A., Alekseeva P., Efendiev K., Yakovlev D., Moskalev A., Kozlikina E., Kharnas P., Reshetov I., Levkin V., Loshchenov V.",Investigated spectral-fluorescent properties of endogenous porphyrins of the wild boar hepatobiliary system optimize the diagnostics and treatment of cholangiocarcinoma with FD and PDT,Optical Engineering,– V.59(6) 061615 (2020),https://doi.org/10.1117/1.OE.59.6.061615,Q3 (optics),,,,,,"Artem Shiryaeva a, Polina Alekseeva b, c, Kanamat Efendiev b, Dmitry Yakovlev d, Arkadii Moskalev c, Elizaveta Kozlikina b, Pavel Kharnas e, Igor Reshetov a, Vladimir Levkin a, Victor Loshchenov c, 
aOncology Center, Sechenov First Moscow State Medical University (Sechenov University), Ministry of Health of the Russian             bNational Research Nuclear University MEPhI (Moscow Engineering Physics Institute MEPhI), Kashirskoye shosse 31, Moscow, 115409 Russia 
cProkhorov General Physics Institute, Russian Academy of Sciences, ul. Vavilova 38, Moscow, 119991 Russia
dShemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, Moscow, 117997 Russia
eRussian State Social University, ul. Wilhelm Pieck 4, Moscow, 129226 Russia",
,"D.S. Farrakhova, D.V. Yakovlev, Yu.S. Maklygina, A.V.Ryabova, A.V. Borodkin, M.V. Loschenov, L. Bezdetnaya, A.D. Plyutinskaya, T.A. Karmakova, A.A. Pankratov, V.B. Loschenov",The research of chlorine e6 distribution and accumulation in multicellular tumor spheroid model.,Optical and Quantum Electronics, (2020) 52: 116,https://doi.org/10.1007/s11082-020-2218-9,Q2,,,,,,,
,"Pominova D., Romanishkin I., Proydakova V., Grachev P., Moskalev A., Ryabova A., Makarov V., Linkov K., Kuznetsov S., Voronov V., Uvarov O., Loschenov V.",Optimization of upconversion nanoparticles excitation mode for deeper in vivo bioimaging without contrast loss or overheating,Methods and Applications in Fluorescence, 8(2) 025006 (2020),https://dx.doi.org/10.1088/2050-6120/ab7782,Q2,,,,,,"Daria V Pominova1 , Igor D Romanishkin1 , Vera Yu Proydakova1 , Pavel V Grachev1 ,Arkadiy S Moskalev1 , Anastasia V Ryabova1,2 , Vladimir I Makarov1 , Kirill G Linkov1 ,Sergei V Kuznetsov1 , Valerii V Voronov1 , Oleg V Uvarov1 and Victor B Loschenov1,2  Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilova Str. 38, Moscow, 119991, Russia 2 National Research Nuclear University MEPhI, Kashirskoe shosse 31, Moscow, 115409, Russia",
,"Oshchepkov A., Oshchepkov M., Pavlova G., Ryabova A., Kamagurov S., Tkachenko S., Frolova S., Redchuk A., Popov K., Kataev E.",Naphthalimide-functionalized Bisphosphonates for Fluorescence Detection of Calcification in Soft Tissues,Sensors & Actuators: B. Chemical,"Volume 314, 1 July 2020, 128047",https://doi.org/10.1016/j.snb.2020.128047,,,,,,"An assistance of Dmitri Panteleev in biotests is highly appreciated.
The authors would like to thank Russian Science Foundation, Project No. 19-79-10220 for the financial support of present study. We thank European Social Funds research grant “NitraMon” (100339427), Technische Universität Chemnitz, for A.S.O. financial support. This work was carried out using equipment of  the Center for collective use No. 74834 “Technological and diagnostic center for the production, research and certification of micro and nanostructures” in GPI RAS.","AleksandrOshchepkovaMaximOshchepkovbcGalinaPavlovadAnastasiyaRyabovaeSemenKamagurovbSergeiTkachenkobcSvetlanaFrolovabcAnatolyRedchukbKonstantinPopovbEvgeny A.Kataevaf
a
Faculty of Natural Sciences Technische Universitaet Chemnitz, 09107 Chemnitz, Germany
b
JSC “Fine Chemicals R&D Centre”, Krasnobogatyrskaya, str. 42, b 1, 107258 Moscow, Russian Federation
c
Mendeleev University of Chemical Technology of Russia, Miusskaya sq. 9, 125047 Moscow, Russian Federation
d
Institute of Gene Biology RAS, Vavilov Street 34/5, 119334 Moscow, Russian Federation
e
Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov str., 38, Moscow, 119991, Russian Federation
f
Department of Chemistry and Pharmacy, University Erlangen-Nürnberg, Nikolaus-Fiebiger-Str. 10, 91058 Erlangen, Germany",
,"Yagudaev D.M., Gens G.P., Kadyrov Z.A., Tikhonenko A.V., Kalyagina N.A.",Photodynamic therapy of penile cancer,Biomedical Photonics,9 (1) (2020):42-46. (In Russ.),https://doi.org/10.24931/2413-9432-2020-9-1-42-46,SJR-Q3,,,,,,,
,"Shiryaev Artem, Reshetov Igor, Loschenov Viktor, Loschenov Maxim, Makarov Vladimir, Borodkin Aleksandr",Combinative Treatment of Nonresectable Cholangiocellular Cancer Complicated by Obstructive Jaundice.,European Journal of Surgical Oncology,,https://doi.org/10.1016/j.ejso.2019.11.431,"SJR-Q1, в WoS не находит IF 3.771",,,,,,,
,"I Yakavets, S Jenard, A Francois, Y. Maklygina, V Loschenov, HP Lassalle, G Dolivet, L Bezdetnaya",Stroma-Rich Co-Culture Multicellular Tumor Spheroids as a Tool for Photoactive Drugs Screening,Journal of Clinical Medicine,-2019.-V.8.-N.10.-P.1688,10.3390/jcm8101686,Q1,,,,,,,
,"Удалова Н.Н., Тутанцев А.С., Фатеев С.А., Жаренова Е.А., Немыгина Е.М., Рябова А.В., Гудилин Е.А., Тарасов А.Б.",Особенности кристаллизации органо-неорганического перовскита MAPbI3 при взаимодействии PbI2 с реакционными полииодидными расплавами,Журнал неорганической химии,,,,,,,,,,
,"E.I.Shramova, V.O.Shipunova, A.V. Ryabova, G.V. Telegin, S.M. Deyev, G.M. Proshkina",Bioluminescence System Based on Luciferase NanoLuc and Flavoprotein miniSOG for Photodynamic Therapy of Deep-Tissue Tumors,Cancer Research,,,,,,,,,,
