пункт госзадания,"Авторы (Фамилия, инициалы) пример: Kononenko V.V., Образцова Е.Д.","Название статьи (без кавычек) если статья в русскоязычном журнале, но индексируется в WoS, указывайте все данные для англоязычной версии WoS.",Журнал пример: Фундаментальные проблемы радиоэлектронного приборостроения,"том , номер (в круглых скобках), номер первой страницы, год (в круглых скобках) пример: 16 (3) 91 (2016)",DOI в формате: https://doi.org/10.1038/srep22101,"Квартиль/РИНЦ (квартиль только по данным WoS! Если статья входит в WoS, но без квартиля: нет Q. Укажите только одно значение Q. Если статья входит в ядро РИНЦ и не входит в WoS: РИНЦ) примеры: Q1, Q2, Q3, Q4, нет Q, РИНЦ",Ссылка на статью в WoS,Ссылка на статью в ядре РИНЦ,"Отдел (ОСПЯ, ОЛФ, ОТИАМ)",Зав. Лабораторией (только ИОФ РАН),Номер темы ФАНО (Парус 8),авторы с аффилиациями
3,"Oshchepkov M., Kamagurov S., Tkachenko S., Popov K., Ryabova A.",Insight into the Mechanisms of Scale Inhibition: A Case Study of a Task-Specific Fluorescent-Tagged Scale Inhibitor Location on Gypsum Crystals,ChemNanoMat,5 (2019) 586 –592,https://doi.org/10.1002/cnma.201800660,Q2,WOS:000471818600003,,ОСПЯ,Лощенов В.Б.,"0024-2018-0035 (The authors would like to thank the Russian Foundation for Basic Research (Project No.
17-08-00061, the study of inhibition mechanisms, and Project No. mol_a 18-33-00303,
the synthesis of HEDP-F) for the financial support of the present study.)","Maxim Oshchepkov1,2, Semen Kamagurov1, Sergei Tkachenko1,2, Konstantin Popov1 *,
Anastasiya Ryabova3
1JSC “Fine Chemicals R&D Centre”, Krasnobogatyrskaya, 42, str.1, 107258 Moscow, Russian Federation
2Mendeleev University of Chemical Technology of Russia, 125047, Miusskaya sq. 9, 125047 Moscow,
Russian Federation
3 Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov Str., 38, Moscow,
119991, Russia"
3,"Pominova D.V., Ryabova A.V., Romanishkin I.D., Kuznetsov S.V., Ovsyannikova A.A., Voronov V.V., Fedorov P.P., Loschenov V.B.",Influence of Y-Gd ratio on phase formation and spectroscopic properties of NaGd0.8-xYxYb0.17Er0.03F4 solid solutions,Laser Physics Letters,16 (3) 035604 (2019),https://doi.org/10.1088/1612-202X/ab00f9,Q2,458532400001,,,,Funding for this research was provided by Russian Science Foundation (project N 17-72-20186).,"Russian Acad Sci, GPI RAS, Prokhorov Gen Phys Inst, 38 Vavilov Str, Moscow 119991, Russia"
3,"Pominova D.V., Romanishkin I.D., Grachev P.V., Borodkin A.V., Vanetsev A.S., Orlovskaya E.O., Orlovskii Yu.V., Sildos I., Loschenov V.B., Ryabova A.V.",Theoretical and experimental modeling of interstitial laser hyperthermia with surface cooling device using Nd 3+ doped nanoparticles,LIMS - LASERS IN MEDICAL SCIENCE,34 (7) 1421 (2019),https://doi.org/10.1007/s10103-019-02742-3,Q2,"WOS:000481755000016 PubMed:30762195
NLM:8611515",,,,This researched received financial support from the Russian Science Foundation (project N 17-72-20186),"Pominova, DV, Romanishkin, ID[ 1 ] , Grachev, PV[ 1 ] , Borodkin, AV[ 1 ] , Vanetsev, AS[ 2 ] , Orlovskaya, EO[ 1 ] , Orlovskii, YV[ 1 ] , Sildos, I[ 2 ] , Loschenov, VB[ 1 ] , Ryabova, AV [ 1 ]   [ 1 ] Russian Acad Sci, Prokhorov Gen Phys Inst, Vavilov Str 38, Moscow 119991, Russia
[ 2 ] Univ Tartu, Inst Phys, W Ostwaldi St 1, EE-50411 Tartu, Estonia"
1,"A. Sharova, D. Farrakhova, E. Slovokhodov, S. Arakelov, A. Zykov, A. Sarantsev, K. Linkov, V. Loschenov","Evaluation of vulvar leukoplakia photodynamic therapy efficiency by fluorescent diagnostics method with local ""Alasens (R)"" photosensitizer application",Photodiagnosis and Photodynamic Therapy,27 (-) 105 (2019),10.1016/j.pdpdt.2019.05.018,"Q3 - WoS, 
=HYPERLINK(""https://www.scimagojr.com/journalsearch.php?q=130008&tip=sid&clean=0"",""Q2"")", WOS:000484870600021,,,,The research was carried out within the state assignment of FASO of Russia (theme “Biomedical physics” No. 0024-2018-0035),"Sharova, A (Sharova, Alina)[ 1 ] , Farrakhova, D (Farrakhova, Dina)[ 1,2 ] , Slovokhodov, E (Slovokhodov, Egor)[ 3 ] , Arakelov, S (Arakelov, Sergey)[ 3 ] , Zykov, A (Zykov, Arkady)[ 3 ] , Sarantsev, A (Sarantsev, Andrey)[ 3 ] , Linkov, K (Linkov, Kirill)[ 1 ] , Loscheno, V (Loscheno, Victor)[ 1,2 ] 
[ 1 ] Russian Acad Sci, Prokhorov Gen Phys Inst, Vavilova Str 38, Moscow 119991, Russia
[ 2 ] Natl Res Nucl Univ MEPh, Kashirskoe Shosse 31, Moscow 115409, Russia
[ 3 ] City Clin Hosp 40, Kasatkina Str 7, Moscow 129301, Russia"
,"Goryaynov SA, Widhalm G, Goldberg MF, Chelushkin D, Spallone A, Chernyshov KA, Ryzhova M, Pavlova G, Revischin A, Shishkina L, Jukov V, Savelieva T, Victor L and Potapov A","The Role of 5-ALA in Low-Grade Gliomas and the Influence of Antiepileptic Drugs on Intraoperative Fluorescence 
",Front. Oncol.,9 423 (2019),10.3389/fonc.2019.00423,Q2,468730000004,,,,"RFBR No. 17-00-00158, No.17-00-00159, and 17-00-00157 [17-00-00162 (K)].","Sergey A. Goryaynov,1,* Georg Widhalm,2 Maria F. Goldberg,3 Danil Chelushkin,1 Aldo Spallone,4,5 Kosta A. Chernyshov,3 Marina Ryzhova,1 Galina Pavlova,6 Alexander Revischin,6 Ludmila Shishkina,1 Vadim Jukov,1 Tatyana Savelieva,7,8 Loschenov Victor,7 and Alexander Potapov7
1N. N. Burdenko Scientific Research Neurosurgery Institute, Moscow, Russia
2Department of Neurosurgery, Medical University of Vienna, Vienna, Austria
3I.M. Sechenov First Moscow State Medical University, Moscow, Russia
4NCL-Institute of Neurological Sciences, Rome, Italy
5Department of Biomedicine, University of Rome Tor Vergata, Rome, Italy
6Institute of Gene Biology, Russian Academy of Science, Moscow, Russia
7Prokhorov General Physics Institute, Russian Academy of Sciences, Moscow, Russia
8National Research Nuclear University, Moscow Engineering Physics Institute, Moscow, Russia"
,"MeerovichGA, AkhlyustinaEV, TiganovaIG, LukyanetsEA, MakarovaEA,TolordavaER, YuzhakovaO.A, RomanishkinID, PhilipovaNI, ZhizhimovaYuS, GonchukovSA, Romanova YuM, LoschenovVB.",Photodynamic inactivation of Pseudomonas aeruginosa bacterial biofilms using new polycationic photosensitizers.,Laser Physics Letters.,16 (2019) 115603 (5pp),https://doi.org/10.1088/1612-202X/ab4806,Q2,,,,,"This work was carried out with the active support of the Center for Collective Use of Scientific Equipment No. 74834 ‘Technological and diagnostic center for the production, research and certification of micro and nanostructures’ in GPI RAS. ","G A Meerovich1,2, E V Akhlyustina2, I G Tiganova3, E A Lukyanets4, E A Makarova4, E R Tolordava3, O A Yuzhakova4, I D Romanishkin1, N I Philipova3, Yu S Zhizhimova3, S A Gonchukov2,5, Yu M Romanova3,6 and V B Loschenov1,2
1 Prokhorov General Physics Institute of the Russian Academy of Sciences, Moscow, Russia
2 National Research Nuclear University ‘MEPHI’, Moscow, Russia
3 N.F. Gamaleya National Research Center of Epidemiology and Microbiology, Moscow, Russia
4 Organic Intermediates and Dyes Institute, Moscow, Russia
5 Lebedev Physical Institute of the Russian Academy of Sciences, Moscow, Russia
6 I. M. Sechenov First Moscow State Medical University, Moscow, Russia"
,"D.M. Kustov, A.S. Sharova, V.I. Makarov, A.V. Borodkin, T.A. Saveleva, V.B. Loschenov",Evaluation of brain tissue oxygenation dynamics by method of near-infrared spectroscopy on various experimental models,Laser Physics Letters.,16 (2019),https://doi.org/10.1088/1612-202X/ab4182,Q2,,,,,нет благодарности,"D.M. Kustov1,2, A.S. Sharova3, V.I. Makarov2, A.V. Borodkin2, T.A. Saveleva2,4, V.B. Loschenov2,4
1 NRU MPEI, Krasnokazarmennaya St., 14, 111250 Moscow, Russia
2 GPI RAS, Vavilova 38, 119991, Moscow, Russia
3 Politecnico di Milano, Piazza Leonardo Da Vinci, 32, 20133, Milan, Italy
4 NRNU MEPhI, Kashirskoye Highway 31, 115409, Moscow, Russia"
,"Sergey Goraynov, Konstantin Chernyshov, Vladimir Alexandrovich Okhlopkov, Denis Alexandrovich Golbin, Dmitrij Vladimirovich Svistov, Boris Vladimirovich Martynov, Alexandr Vongievich Kim, Vadim Anatolyevich Byvaltsev, Galina Valerievna Pavlova, Nikolay Alexander Konovalov, Artem Batalov, Petr Vladimirovich Zelenkov, Victor Borisovich Loschenov, Alexandr Alexandrovich Potapov",Fluorescence diagnosis in neurooncology: retrospective analysis of 653 cases,Frontiers in Oncology,9 830 (2019),10.3389/fonc.2019.00830,Q2,WOS:000484509100001,,,,"Russian Foundation for Basic Research (RFBR) 
17-00-00158
17-00-00159
17-00-00157
17-00-00162
19-29-01154
We would like to acknowledge the help provided by our colleagues: A. I. Kholyavin, N. P. Bechtereva Institute of the Human Brain, Russian Academy of Sciences, Saint Petersburg, Russia. 
G. V. Papayan, I. P. Pavlov First St. Petersburg State Medical University, Ministry of Health of the Russian Federation, St. Petersburg, Russia. 
D. S. Kim, Department of Pathomorphology, Burdenko NSI, Moscow. 
I. N. Pronin, Full member of RAS, and A. I. Batalov, Burdenko NSI, Moscow.
Translation from Russian to English – N. A. Pestovskaya.

This work was partially supported by the Competitiveness Program of MEPhI.","Goryaynov SA1, Okhlopkov VA1, Golbin DA1, Chernyshov KA2, Svistov DV3, Martynov BV3, Kim AV4, Byvaltsev VA5,6, Pavlova GV7, Batalov A1, Konovalov NA1, Zelenkov PV1, Loschenov VB8,9, Potapov AA1.
1 N. N. Burdenko National Medical Research Center of Neurosurgery of the Ministry of Health of the Russian Federation, Moscow, Russia.
2 I. M. Sechenov First Moscow State Medical University of the Ministry of Health of the Russian Federation, Moscow, Russia.
3 S. M. Kirov Military Medical Academy of the Ministry of Defense of the Russian Federation, St-Petersburg, Russia.
4 V. A. Almazov Federal North-West Medical Research Centre of the Ministry of Health of the Russian Federation, St-Petersburg, Russia.
5 Laboratory of Neurosurgery, Irkutsk Scientific Center of Surgery and Traumatology, Irkutsk, Russia.
6 Department of Neurosurgery, Irkutsk State Medical University, Irkutsk, Russia.
7 Institute of Gene Biology, Russian Academy of Science, Moscow, Russia.
8 Prokhorov General Physics Institute of the Russian Academy of Science, Moscow, Russia.
9 National Research Nuclear University MEPhI, Moscow, Russia."
,"Kalyagina N., Loshchenov M., Amouroux M., Daul C., Kudashev B., Blondel W. and Loschenov V.",Two Diagnostic Criteria of Optical Spectrosopy for Bladder Tumor Detection: Clinical Study using 5-ALA induced fluorescence and Mathematical Modelling,Biomedical Signal Processing and Control,направлена в редакцию,,Q2,,,,,,"Nina Kalyagina 1,2,*, Maxim Loshchenov 1, Marine Amouroux3, Christian Daul 3, Boris Kudashev4, Walter Blondel3 and Victor Loschenov 1,2
1Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov Str. 38, 119991, Russian Federation
2 National Research Nuclear University MEPhI, Kashirskoye shosse 31, 115409, Russian Federation 
3 Université de Lorraine, CNRS, CRAN UMR 7039, Vandoeuvre-Lès-Nancy, France
4N.N. Blokhin Russian Cancer Research Center RAMS, Kashirskoye Shosse 24, 115478, Moscow, Russian Federation

"
,"Loshchenov M., Levkin V., Kalyagina N., Linkov K., Kharnas S., Efendiev K., Loschenov V.",Laser Induced Fluorescence Diagnosis of Stomach Tumour,Lasers in Medical Science,направлена в редакцию,,Q2,,,,,,"Loshchenov Maxim1, Levkin Vladimir2, Kalyagina Nina1,3, Linkov Kirill1, Kharnas Sergey2, Efendiev Kanamat3, Loschenov Victor1,3
1 Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov Str. 38, 119991, Russian Federation
2 I.M. Sechenov First Moscow State Medical University (Sechenov University), Trubetskaya st. 8-2., Moscow 119991, Russian Federation
3 National Research Nuclear University MEPhI, Kashirskoye shosse 31, 115409, Russian Federation
"
