№,"Авторы (Фамилия, инициалы) пример: Kononenko V.V., Образцова Е.Д.","Название статьи (без кавычек) если статья в русскоязычном журнале, но индексируется в WoS, указывайте все данные для англоязычной версии WoS.",Журнал пример: Фундаментальные проблемы радиоэлектронного приборостроения,"том , номер (в круглых скобках), номер первой страницы, год (в круглых скобках) пример: 16 (3) 91 (2016)",DOI в формате: https://doi.org/10.1038/srep22101,"Квартиль WoS/квартиль Scopus/РИНЦ (квартиль только по данным WoS! Если статья входит в WoS, но без квартиля: нет Q. Укажите только одно значение Q. Если статья входит в ядро РИНЦ и не входит в WoS: РИНЦ) примеры: Q1, Q2, Q3, Q4, нет Q, РИНЦ",Ссылка на статью в WoS,Ссылка на статью в ядре РИНЦ,"Отдел (ОСПЯ, ОЛФ, ОТИАМ)","Зав. Лабораторией (только ИОФ РАН, другие институты указывать не надо)",Номер темы ФАНО (Парус 8)
11,"Yu. A. Rozhnova, S. V. Kuznetsov, A. A. Luginina, V. V. Voronov, A. V. Ryabova, D. V. Pominova, R. P. Ermakov, V. A. Usachev, N. E. Kononenko, A. E. Baranchikov, V. K. Ivanov, P. P. Fedorov.","New Sr1-x-yRx(NH4)yF2+x-y (R = Yb, Er) solid solution as precursor for high efficiency up-conversion luminophor and optical ceramics on the base of strontium fluoride",Materials Chemistry and Physics,172 150 (2016),https://doi.org/10.1016/j.matchemphys.2016.01.055,Q2/Q2/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=67&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
12,"S.V. Kuznetsov, D.S. Yasyrkina, A.V. Ryabova, D.V. Pominova, V.V. Voronov, A.E. Baranchikov, V.K. Ivanov, P.P. Fedorov",α-NaYF4:Yb:Er@AlPc(C2O3)4-Based efficient up-conversion luminophores capable to generate singlet oxygen under IR excitation,J Fluor Chem,182 104 (2016),https://doi.org/10.1016/j.jfluchem.2015.12.012,Q2/Q2/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=70&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Ф.Г. Быстров, В.И. Макаров, Д.В. Поминова, А.В. Рябова, В.Б. Лощенов",Исследование кинетики затухания фотолюминесценции молекулярных нанокристаллов фталоцианина алюминия при взаимодействии с иммунокомпетентными клетками,Biomedical Photonics,5 (1) 3 (2016),,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Макаров В.И., Ахлюстина Е.В., Фаррахова Д.С., Поминова Д.В., Рябова А.В., Лощенов В.Б.",Методы фотоники для оценки качества приживления кожных трансплантатов (обзор),Biomedical Photonics,5 (3) 30 (2016),,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Ширяев А.А., Мусаев Г.Х., Лощенов М.В., Бородкин А.В., Левкин В.В., Охотникова Н.Л., Волков В.В., Макаров В.И., Лощенов В.Б.",ФЛУОРЕСЦЕНТНАЯ ДИАГНОСТИКА И ФОТОДИНАМИЧЕСКАЯ ТЕРАПИЯ В КОМБИНИРОВАННОМ ЛЕЧЕНИИ ХОЛАНГИОЦЕЛЛЮЛЯРНОГО РАКА,Biomedical Photonics,5 (4) 15 (2016),,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Маклыгина Ю.С., Бородкин А.В., Рябова А.В., Поминова Д.В., Макарова Е.А., Лукьянец Е.А., Лощенов В.Б.",ИССЛЕДОВАНИЕ ВНУТРИКЛЕТОЧНОГО РАСПРЕДЕЛЕНИЯ КРИСТАЛЛИЧЕСКИХ НАНОЧАСТИЦ МЕЗО-ТЕТРА(3-ПИРИДИЛ)БАКТЕРИОХЛОРИНА,Biomedical Photonics,5 (4) 25 (2016),,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
14,"Sharova Alina , Maklygina Yuliya , Kundu Biswanath , Balla Vamsi , Steiner Rudolf,Loschenov Victor",Spectral luminescent properties of bacteriochlorin and aluminum phthalocyanine nanoparticles as hydroxyapatite implant surface coating,Biomedical Photonics,5 (2) 4 (2016),,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Petrov S.Y., Antonov A.A., Novikov I.A., Savelieva T.A.",Techniques of evaluation of hemoglobin oxygen saturation in clinical ophthalmology,Biomedical Photonics,5 (4) 35 (2016),,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"О.Н. Шилова, Г.М. Прошкина, А.В. Рябова, С.М. Деев",АНТИ-HER2-ФОТОТОКСИН НА ОСНОВЕ ФЛАВОПРОТЕИДА miniSOG ВЫЗЫВАЕТ ОКИСЛИТЕЛЬНЫЙ СТРЕСС И НЕКРОЗ HER2-ПОЛОЖИТЕЛЬНЫХ РАКОВЫХ КЛЕТОК,БИОХИМИЯ. ВЕСТН. МОСК. УН-ТА. СЕР. 16. БИОЛОГИЯ.,1 17 (2016),https://doi.org/10.3103/S0096392516010107,нет в Wos / Q3 /ядро РИНЦ,,https://elibrary.ru/item.asp?id=25644168,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Петров С.Ю., Антонов А.А., Макарова А.С., Савельева Т.А., Рябова А.В., Лощенов В.Б.",Оценка влияния противовоспалительной терапии в предоперационном периоде на состояние переднего отрезка глаза и исход синустрабекулэктомии по уровню оксигенации гемоглобина в венозном русле,Национальный журнал глаукома,15 (3) 43 (2016),,нет в Wos / нет в Scopus / не ядро РИНЦ,,https://elibrary.ru/item.asp?id=26702521,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Петров С.Ю., Антонов А.А., Новиков И.А., Волжанин А.В., Савельева Т.А., Рябова А.В., Лощенов В.Б.",Исследования оксигенации в офтальмологии,Национальный журнал глаукома,15 (3) 71 (2016),,нет в Wos / нет в Scopus / не ядро РИНЦ,,https://elibrary.ru/item.asp?id=26702524,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"А.В.Шабунин, Д.Д.Долидзе, С.О.Подвязников, К.В.Мельник, Р.Б.Мумладзе, А.В.Варданян, И.Н.Лебединский, П.В.Грачев",Усовершенствованный способ тиреоидэктомии с футлярно-фасциальным иссечением клетчатки шеи,Современная онкология,2 72 (2016),,нет в Wos / нет в Scopus / не ядро РИНЦ,,https://elibrary.ru/item.asp?id=27721009,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Р. Г. Вахренев, М. Н. Маякова, С. В. Кузнецов, А. В. Рябова, Д. В Поминова, В. В Воронов, П. П Федоров","ИССЛЕДОВАНИЕ СИНТЕЗА И ЛЮМИНЕСЦЕНТНЫХ ХАРАКТЕРИСТИК ФТОРИДА КАЛЬЦИЯ, ЛЕГИРОВАННОГО ИТТЕРБИЕМ И ЭРБИЕМ, ДЛЯ БИОМЕДИЦИНСКИХ ПРИЛОЖЕНИЙ",КОНДЕНСИРОВАННЫЕ СРЕДЫ И МЕЖФАЗНЫЕ ГРАНИЦЫ,18 (4) 487 (2016),,нет в Wos / нет в Scopus / ядро РИНЦ,,https://elibrary.ru/item.asp?id=27474848,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Maklygina YS, Sharova AS, Kundu B, Balla VK, Steiner R, et al.",Photo-bactericidal Properties of Hydroxyapatite Implant Surface Coating,Bioceram Dev Appl,07 34 (2016),https://doi.org/10.4172/2090-5025.1000094,нет в Wos / нет в Scopus / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Крутько В.А., Комова М.Г., Поминова Д.В., Ярославцев А.Б.",Влияние условий синтеза на дисперсность и люминесцентные свойства германатобората La3.16Gd10Yb0.7Er0.14Ge2B6O34,Неорганические материалы,52 (11) 1228 (2016),https://doi.org/10.1134/S0020168516110078,Q4/Q2/ ядро РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=106&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,https://elibrary.ru/item.asp?id=27148037,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Маклыгина Ю.С., Рябова А. В., Лощенов В. Б., Соколов Е. Н., Невзоров Д. И., Григорьева Е. Ю., Долгушин М.Б., Долгушин Б.И.",Использование излучения Вавилова­Черенкова для деструкции клеток глиомы С6 крысы при сочетанном воздействии ФДГ и 5­АЛК индуцированного протопорфирина IX. Пилотное экспериментальное исследование,Вестник РОНЦ,4 (27) 160 (2016),,нет в Wos / нет в Scopus / ядро РИНЦ,,но этой статьи нет в eLibrary ,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"J O Kuznetsova, V I Makarov",Application of nanophotosensitizers (aluminum phthalocyanine nanoparticles) for early diagnosis and prevention of inflammatory diseases,Journal of Physics: Conference Series,737 (1) 012049 (2016),https://doi.org/10.1088/1742-6596/737/1/012049,нет Q/Q3/ ядро РИНЦ,,https://elibrary.ru/item.asp?id=27571222,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Sharova A.S., Maklygina Yu.S., Lisichkin G.V., Mingalev P.G., Loschenov V.B.",Nanodiamonds + bacteriochlorin as an infrared photosensitizer for deep-lying tumor diagnostics and therapy,Journal of Physics: Conference Series (V International Conference of Photonics and Information Optics),737 (1) 012052 (2016),https://doi.org/10.1088/1742-6596/737/1/012052,нет Q/Q3/ ядро РИНЦ,,https://elibrary.ru/item.asp?id=27571226,ОСПЯ,Лощенов В.Б.,0024-2018-0035
15,"D S Farrakhova, J O Kuznetsova and V B Loschenov",The study of laser induced fluorescence of tooth hard tissues with aluminum phthalocyanine nanoparticles,Journal of Physics: Conference Series (V International Conference of Photonics and Information Optics),737 (1) 012048 (2016),https://doi.org/10.1088/1742-6596/737/1/012048,нет Q/Q3/ ядро РИНЦ,,https://elibrary.ru/item.asp?id=27571092,ОСПЯ,Лощенов В.Б.,0024-2018-0035
13,"G.А., Tiganova I.G., Makarova E.А., Meerovich I.G., Romanova Ju.М., Tolordova E.R., Alekseeva N.V., Stepanova Т.V., Koloskova Yu., Lukyanets Е.А., Krivospitskaya N.V., Sipailo I.P., Baikova Т.V., Loschenov V.B., Gonchukov S.A",Photodynamic inactivation of bacteria and biofilms using cationic bacteriochlorins,Journal of Physics: Conference Series,691 (1) 1 (2016),https://doi.org/10.1088/1742-6596/691/1/012011,нет Q/Q3/ ядро РИНЦ,,https://elibrary.ru/item.asp?id=27150995,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Bystrov Fedor , Makarov Vladimir,Loschenov Victor",Study of the fluorescence intensity decay of nanophotosensitizers using time-resolved spectroscopy methods,Photon Lasers Med (Abstracts of LAT2016),5 (4) 282 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Linkov Kirill, Volkov Vladimir,Shikunova Irina ",Laser systems and fiber optic tools for photodynamic therapy,Photon Lasers Med (Abstracts of LAT2016),5 (4) 300 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Blondel Walter, Rakotomanga Prisca, Kholodtsova Maria, Daul Christian, Loschenov Viktor, Amouroux Marine,Soussen Charles",On the estimation of tissue optical parameters from diffuse reflectance spectroscopy,Photon Lasers Med (Abstracts of LAT2016),5 (4) 303 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Maklygina Yuliya, Borodkin Aleksandr, Yusubalieva Gaukhar,Loschenov Victor",Development of a fiber-optic scaffold for the glioblastoma diagnosis and prevention,Photon Lasers Med (Abstracts of LAT2016),5 (4) 316 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Makarov Vladimir, Pominova Daria , Kholodtsova Maria, Ryabova Anastasia,Loschenov Victor",Spectroscopic evaluation method of angiogenesis in the healing of skin grafts using spectrally sensitive-toinflammatory reactions aluminum phthalocyanine nanoparticles,Photon Lasers Med (Abstracts of LAT2016),5 (4) 276 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"E.V. Akhlyustina, Y.S. Maklygina, A.V. Borodkin, A.V. Ryabova, A.A. Kuneva, P.A. Rybakova, D.V. Yakovlev, G.A. Meerovich and E.V. Filonenko",Spectral fluorescence method of bacteriochlorin accumulation dynamic estimation in mice skin with superficial wound Staphylococcus infection,Photon Lasers Med (Abstracts of LAT2016),5 (4) 283 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"D.S. Farrakhova, E.V. Akhlyustina, V.I. Makarov, D.V. Pominova and .V. Ryabova",Study of aluminum phthalocyanine nanoparticle fluorescence properties changes in tissue engraftment for small laboratory animals cross skin transplantation,Photon Lasers Med (Abstracts of LAT2016),5 (4) 285 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"A.E. Mukhin, A.V. Borodkin, P.V. Grachev and E.F. Stranadko",Joint application of fluorescence imaging and local fluorescence spectroscopy for photodynamic diagnostics and photodynamic therapy of skin cancer,Photon Lasers Med (Abstracts of LAT2016),5 (4) 293 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"T.A. Zharova , S.V. Ivannikov , A.M. Tonenkov , E.F. Stranadko, L.A. Semenova , M.M. Smorchkov, V.I. Makarov , I.D. Romanishkin , A.V. Ryabova and V.B. Loschenov",Photodynamic therapy of gonarthrosis with Fotoditazin,Photon Lasers Med (Abstracts of LAT2016),5 (4) 297 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Z.N. Abdulvapova, P.V. Grachev, G.R. Galstyan and O.N. Bondarenko",Near-infrared imaging for angiography in diabetic foot,Photon Lasers Med (Abstracts of LAT2016),5 (4) 305 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"R.Steiner, C.Scalfi-Happ, R.Wittig , A.Ryabova, S.Gräfe and V.B. Loschenov",Sensitizer-nanoparticles for tissue diagnostics and photodynamic therapy,Photon Lasers Med (Abstracts of LAT2016),5 (4) 307 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Yu.S. Maklygina, A.V. Ryabova, V.B. Loschenov, E.N. Sokolov , D.I. Nevzorov, E.Yu. Grigoreva, M.B. Dolgushin and B.I. Dolgushin",Depth independent Cherenkov radiation-mediated therapy with 5-ALA photosensitizer,Photon Lasers Med (Abstracts of LAT2016),5 (4) 309 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Filonenko Elena, Kaprin Andrey, Urlova Antonia,Loschenov Maxim ",Development of methods for fluorescence imaging in theranostics for oncological diseases,Photon Lasers Med (Abstracts of LAT2016),5 (4) 310 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Shikunova Irina , Volkov Vladimir,Kurlov Vladimir",Sapphire shaped crystals for phototheranostics and combined anticancer therapy,Photon Lasers Med (Abstracts of LAT2016),5 (4) 312 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Savelieva Tatiana, Goryaynov Sergey,Potapov Alexander",Combined spectroscopic technique in low-grade glioma neurosurgery navigation,Photon Lasers Med (Abstracts of LAT2016),5 (4) 315 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
,"Loschenov Maxim, Borodkin Alexander, Golbin Denis, Goryaynov Sergey, Zelenkov Petr,Potapov Alexander",Dual channel video fluorescence diagnostic system for intraoperational navigation during protoporphyrin IX photosensitized malignant tumor resection in central neural system,Photon Lasers Med (Abstracts of LAT2016),5 (4) 320 (2016),https://doi.org/10.1515/plm-2016-0033,нет,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
